Year,Month,Site,Var.1,Var.2,Var.3
2018,11,3,69.50708166,598.9408489,30.64374138
2018,11,3,153.0395563,1013.903943,9.451686579
2018,11,3,40.86572841,214.439521,-27.37120847
2018,11,3,70.115039,678.1922183,30.39872899
2018,11,3,-73.6807677,52.36023413,19.02464753
2018,11,3,297.0995568,67.79943088,6.592231121
2018,11,3,78.81203759,582.2397726,-24.68569007
2018,11,3,20.77727809,262.3060474,12.78044659
2018,12,1,145.6405017,5408.481093,-56.79522118
2018,12,1,104.1395481,415.817951,-59.86389867
2018,12,1,53.40840992,1634.57349,-62.03626307
2018,12,1,82.96094149,328.5181472,-10.95889477
2018,12,1,113.1304519,1860.796302,44.41351171
2018,12,1,-39.53936938,-120.9622968,-40.45308192
2018,12,1,85.34450493,341.471094,-70.64420315
2018,12,1,139.4607897,504.50374,-44.47191375
2018,12,2,11.95207297,116.3977509,93.49560456
2018,12,2,55.07447534,-370.7350752,85.03085017
2018,12,2,104.6851494,424.1330823,-38.89452672
2018,12,2,39.08188768,17.44833015,-21.95286364
2018,12,2,52.44431056,563.9146437,-35.39395092
2018,12,2,6.262227073,165.0852449,-25.11666494
2018,12,2,57.7810498,503.514461,-49.01678265
2018,12,2,28.55761697,382.682426,-39.11700789
2018,12,3,384.3898978,1763.651599,84.23263082
2018,12,3,117.6748324,59.78625078,4.192040522
2018,12,3,94.26600674,-47.73731508,55.26207573
2018,12,3,51.17042832,120.793517,43.61929454
2018,12,3,69.5576262,1913.267176,71.00412002
2018,12,3,47.01619567,-585.0389815,66.80268098
2018,12,3,279.5965176,-572.2632729,71.70236482
2018,12,3,33.67936132,590.9552711,83.22750237
2019,1,1,343.262556,2789.897601,23.90013085
2019,1,1,185.4059598,322.6707752,31.54974765
2019,1,1,64.58307601,2885.805252,23.63439196
2019,1,1,81.22546812,250.5813395,-29.84369998
2019,1,1,70.70113,1558.01988,-47.51318609
2019,1,1,80.96058784,4200.581456,69.73058172
2019,1,1,3.01504692,864.5429393,59.33946186
2019,1,1,317.5116311,92.62299883,79.01527135
2019,1,2,20.12987113,289.1689286,7.691635576
2019,1,2,2.748911884,-222.2955696,9.634088297
2019,1,2,91.09721901,334.7398069,8.350285562
2019,1,2,104.160124,305.2693264,0.191955909
2019,1,2,69.12416701,555.6626642,-66.6275882
2019,1,2,45.2844971,783.6953456,-44.01354411
2019,1,2,238.7921576,207.4862227,9.311760262
2019,1,2,-84.46665258,222.2304296,-39.35532044
2019,1,3,67.68111121,-243.0507934,11.60532512
2019,1,3,15.93817884,101.4894106,-9.181510992
2019,1,3,-14.08645507,424.9422838,87.35335752
2019,1,3,114.9949319,-245.156588,-39.32761152
2019,1,3,157.6046236,664.9835114,11.91036905
2019,1,3,335.0626263,627.7428597,17.94395897
2019,1,3,347.6138322,1232.072101,-0.719551649
2019,1,3,288.9752858,2095.307747,-26.76516049
2019,2,1,176.2621934,1052.625212,14.20379762
2019,2,1,68.05070626,580.4087828,32.83008843
2019,2,1,75.91521098,11806.1468,6.223288499
2019,2,1,37.93788726,1945.926535,-16.32946045
